Provinsi,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Sumatera Utara,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,424.15
Gorontalo,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,140.28
Kalimantan Barat,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,0.0
Gorontalo,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,0.0
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1871.47
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1018.69
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,0.0
Sumatera Utara,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,0.0
Riau,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,203.16
Riau,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,132.63
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1669.7
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1868.92
Jambi,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1823.0
Sumatera Utara,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1343.0
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,3990.28
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,337.75
Bali,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,15.9
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,0.0
Gorontalo,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,0.0
Jawa Timur,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,5371.9
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1882.17
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,716.25
Lampung,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,869.85
Jawa Timur,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,4013.02
Gorontalo,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,211.65
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,1793.13
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,2604.0
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,2081.17
Bali,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Bangunan Prefabrikasi,0.0
Jawa Tengah,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Bangunan Prefabrikasi,4193.39
Daerah Istimewa Yogyakarta,Kayu Alam,Jenis Kayu Lainnya,Blockboard,Bangunan Prefabrikasi,0.0
Riau,Kayu Alam,Jenis Kayu Lainnya,Blockboard,Bangunan Prefabrikasi,9.56
Riau,Kayu Alam,Jenis Kayu Lainnya,Blockboard,Bangunan Prefabrikasi,6.65
Papua Barat,Kayu Alam,Jenis Kayu Lainnya,Chipwood,Bangunan Prefabrikasi,3832.75
Maluku,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,108.14
Maluku,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Bali,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,343.49
Daerah Istimewa Yogyakarta,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,393.38
Banten,Kayu Alam,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Bangunan Prefabrikasi,0.0
Sumatera Selatan,Kayu Alam,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Bangunan Prefabrikasi,1540.07
Kalimantan Utara,Kayu Alam,Jenis Kayu Lainnya,Veneer,Bangunan Prefabrikasi,31.87
Riau,Kayu Alam,Jenis Kayu Lainnya,Veneer,Bangunan Prefabrikasi,1315.99
Daerah Istimewa Yogyakarta,Kayu Alam,Jenis Kayu Lainnya,Veneer,Bangunan Prefabrikasi,124.5
Gorontalo,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,10436.49
Riau,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,111.58
Kalimantan Selatan,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,0.0
Jawa Tengah,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,1835.65
Jambi,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,0.0
Daerah Istimewa Yogyakarta,Kayu Alam,Kayu Eboni,Bare Core,Bangunan Prefabrikasi,564.61
Kalimantan Timur,Kayu Alam,Kayu Eboni,Chipwood,Bangunan Prefabrikasi,27805.0
Lampung,Kayu Alam,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,4284.77
Kalimantan Selatan,Kayu Alam,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,3274.31
Riau,Kayu Alam,Kayu Eboni,Kayu Lapis dan LVL,Bangunan Prefabrikasi,3660.54
Papua,Kayu Alam,Kayu Eboni,Veneer,Bangunan Prefabrikasi,5325.58
Jawa Tengah,Kayu Alam,Kayu Eboni,Veneer,Bangunan Prefabrikasi,30184.15
Kalimantan Tengah,Kayu Alam,Kayu Eboni,Wood Pellet,Bangunan Prefabrikasi,0.0
Kalimantan Tengah,Kayu Alam,Kayu Eboni,Wood Pellet,Bangunan Prefabrikasi,2270.21
Lampung,Kayu Alam,Kayu Eboni,Wood Pellet,Bangunan Prefabrikasi,958.11
Jawa Timur,Kayu Alam,Kayu Indah,Bare Core,Bangunan Prefabrikasi,7157.86
Lampung,Kayu Alam,Kayu Indah,Chipwood,Bangunan Prefabrikasi,0.0
Jambi,Kayu Alam,Kayu Indah,Chipwood,Bangunan Prefabrikasi,267477.54
Sumatera Utara,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,14633.53
Maluku,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Utara,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,573.96
Kalimantan Tengah,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,6154.89
Jambi,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,1938.38
Daerah Istimewa Yogyakarta,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,340.5
Kalimantan Selatan,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,6817.12
Jambi,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,2281.46
Jawa Barat,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,2222.71
Jawa Barat,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,2232.86
Kalimantan Tengah,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,9389.95
Sumatera Utara,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Bangunan Prefabrikasi,0.0
Sumatera Utara,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Bangunan Prefabrikasi,3936.76
Nusa Tenggara Barat,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Bangunan Prefabrikasi,174.8
Riau,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Bangunan Prefabrikasi,2352.81
Sumatera Utara,Kayu Alam,Kayu Indah,Pulp,Bangunan Prefabrikasi,17298.33
Kalimantan Utara,Kayu Alam,Kayu Indah,Veneer,Bangunan Prefabrikasi,0.0
Sumatera Selatan,Kayu Alam,Kayu Indah,Veneer,Bangunan Prefabrikasi,0.0
Banten,Kayu Alam,Kayu Indah,Veneer,Bangunan Prefabrikasi,186.7
Papua Barat,Kayu Alam,Kayu Indah,Veneer,Bangunan Prefabrikasi,70.11
Kalimantan Selatan,Kayu Alam,Kayu Indah,Veneer,Bangunan Prefabrikasi,1791.55
Sumatera Selatan,Kayu Alam,Kayu Indah,Veneer,Bangunan Prefabrikasi,3128.28
Gorontalo,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,3.4
Kalimantan Tengah,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,2996.54
Sumatera Utara,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,776.9
Kalimantan Selatan,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,0.0
Gorontalo,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,0.0
Kalimantan Tengah,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,2210.85
Jawa Timur,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,2198.28
Jawa Tengah,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,0.0
Gorontalo,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,152.15
Kalimantan Barat,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,0.0
Gorontalo,Kayu Alam,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,0.0
Jawa Barat,Kayu Alam,Kelompok Meranti,Bare Core,Bangunan Prefabrikasi,148.22
Jawa Timur,Kayu Alam,Kelompok Meranti,Bare Core,Bangunan Prefabrikasi,2257.54
Bali,Kayu Alam,Kelompok Meranti,Blockboard,Bangunan Prefabrikasi,0.0
Daerah Istimewa Yogyakarta,Kayu Alam,Kelompok Meranti,Blockboard,Bangunan Prefabrikasi,178.54
Papua Barat,Kayu Alam,Kelompok Meranti,Chipwood,Bangunan Prefabrikasi,2004.42
Papua Barat,Kayu Alam,Kelompok Meranti,Chipwood,Bangunan Prefabrikasi,6297.87
Sumatera Utara,Kayu Alam,Kelompok Meranti,Chipwood,Bangunan Prefabrikasi,103938.84
Sulawesi Selatan,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,93.92
Kalimantan Selatan,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,5459.96
Sumatera Utara,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,13728.38
Maluku Utara,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,549.2
Kalimantan Utara,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,1704.35
Kalimantan Selatan,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,4670.44
Kalimantan Timur,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,3085.68
Kalimantan Utara,Kayu Alam,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,8540.09
Jawa Barat,Kayu Alam,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,4655.63
Riau,Kayu Alam,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,5151.68
Kalimantan Utara,Kayu Alam,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,12617.11
Sumatera Utara,Kayu Alam,Kelompok Meranti,Pulp,Bangunan Prefabrikasi,16374.53
Kalimantan Timur,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,2073.17
Maluku,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,544.52
Jawa Timur,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,44217.17
Kalimantan Utara,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,0.0
Sulawesi Selatan,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,7384.79
Jambi,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,3500.68
Bali,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,0.0
Jawa Timur,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,3996.4
Kalimantan Selatan,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,1442.35
Bali,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,0.0
Kalimantan Tengah,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,3934.16
Sumatera Utara,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,708.05
Kalimantan Tengah,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,3065.27
Riau,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,92.63
Lampung,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,757.6
Kalimantan Tengah,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,0.0
Lampung,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,1206.67
Kalimantan Barat,Kayu Alam,Kelompok Meranti,Wood Pellet,Bangunan Prefabrikasi,0.0
Jawa Barat,Kayu Alam,Rimba Campuran,Blockboard,Bangunan Prefabrikasi,428.66
Kalimantan Timur,Kayu Alam,Rimba Campuran,Chipwood,Bangunan Prefabrikasi,0.0
Kalimantan Barat,Kayu Alam,Rimba Campuran,Finger Joint Board,Bangunan Prefabrikasi,0.0
Daerah Istimewa Yogyakarta,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,295.26
Jawa Tengah,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,33291.67
Sumatera Selatan,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,830.58
Sulawesi Selatan,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,1264.76
DKI Jakarta,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,116.9
Sumatera Utara,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,17144.33
Sumatera Barat,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,368.76
Papua Barat,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,8409.65
Papua,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,2855.88
Banten,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,6888.41
Nusa Tenggara Barat,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,117.36
Jawa Barat,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,5427.54
Sulawesi Tengah,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,0.0
Jawa Barat,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,4898.79
Kalimantan Selatan,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,46384.87
Jambi,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,13685.45
Sulawesi Tengah,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,0.0
Bengkulu,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,66.42
Jawa Timur,Kayu Alam,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,97011.79
Jambi,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,0.0
Papua Barat,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,361.9
Bali,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,1007.97
Papua Barat,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,460.87
Jawa Tengah,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,27152.75
Papua,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,5937.07
Kalimantan Utara,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,207.75
Sumatera Selatan,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,4194.99
Lampung,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,2780.52
Kalimantan Tengah,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,3676.36
Kalimantan Tengah,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,3032.08
Kalimantan Barat,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,0.0
Sumatera Utara,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,456.45
Gorontalo,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,666.85
Gorontalo,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,2147.18
Kalimantan Barat,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,374.48
Jawa Timur,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,0.0
Kalimantan Selatan,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,1293.3
Jawa Timur,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,1351.04
Kalimantan Tengah,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,2387.6
Kalimantan Selatan,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,1478.8
Gorontalo,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,0.0
Sumatera Utara,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,572.05
Lampung,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,537.9
Bali,Kayu Alam,Hutan Tanaman Industri,Bare Core,Chipwood,79.39
Daerah Istimewa Yogyakarta,Kayu Alam,Hutan Tanaman Industri,Bare Core,Chipwood,623.04
Daerah Istimewa Yogyakarta,Kayu Alam,Hutan Tanaman Industri,Bare Core,Chipwood,843.86
Jawa Timur,Kayu Alam,Hutan Tanaman Industri,Bare Core,Chipwood,1659.62
Bali,Kayu Alam,Hutan Tanaman Industri,Blockboard,Chipwood,97.9
Riau,Kayu Alam,Hutan Tanaman Industri,Blockboard,Chipwood,0.0
Jawa Timur,Kayu Alam,Hutan Tanaman Industri,Chipwood,Chipwood,0.0
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Chipwood,Chipwood,0.0
Sulawesi Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Jambi,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Sulawesi Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Sumatera Utara,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Sumatera Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,3366.12
Sumatera Utara,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,20379.32
Sulawesi Tenggara,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,1542.43
Papua Barat,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,5691.05
Sulawesi Tenggara,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,812.72
Maluku,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,658.08
Kalimantan Barat,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,583.44
Sulawesi Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,351.66
Lampung,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,3152.72
Riau,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,6682.79
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,7690.04
Sulawesi Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,1129.43
Kalimantan Barat,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,895.33
Lampung,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,6523.23
Sulawesi Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,2459.29
Sulawesi Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,2417.27
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,5047.13
Kalimantan Barat,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,1199.36
Sumatera Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Lapis dan LVL,Chipwood,0.0
Jambi,Kayu Alam,Hutan Tanaman Industri,Kayu Lapis dan LVL,Chipwood,9605.54
