Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Alam,Jenis Khusus,Bare Core,Veneer,0.0
Jawa Tengah,Hutan Lindung,Kayu Alam,Jenis Khusus,Bare Core,Woodworking,0.0
Jawa Timur,Hutan Lindung,Kayu Tanaman,Kayu Eboni,Bare Core,Kerajinan,0.0
Kalimantan Selatan,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Bare Core,Bangunan Prefabrikasi,0.0
Bali,HKM HD Kemitraan,Limbah,Jenis Khusus,Bare Core,Kerajinan,0.0
Daerah Istimewa Yogyakarta,IUPHHK HTI,Setengah Jadi,Kayu Indah,Bare Core,Veneer,0.0
Jawa Tengah,UPHHK HTR,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Bangunan Prefabrikasi,0.0
Jawa Timur,HKM HD HTR,Kayu Perkebunan,Kayu Eboni,Bare Core,Bangunan Prefabrikasi,0.0
Kalimantan Selatan,Hutan Lindung,Limbah,Rimba Campuran,Bare Core,Woodworking,0.0
Bali,IUPHHK RE,Kayu Tanaman,Kayu Indah,Bare Core,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Perkebunan,Rimba Campuran,Bare Core,Furnitur Kayu,0.0
Jawa Tengah,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Bare Core,Paper,0.0
Jawa Timur,UPHHK HTR,Kayu Perkebunan,Kayu Eboni,Bare Core,Veneer,0.0
Kalimantan Selatan,IUPHHK RE,Setengah Jadi,Kelompok Meranti,Bare Core,Panel,0.0
Bali,Hutan Lindung,Kayu Perkebunan,Rimba Campuran,Bare Core,Pulp,0.0
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Chipwood,0.0
Jawa Tengah,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Bare Core,Pulp,0.0
Jawa Timur,UPHHK HTR,Setengah Jadi,Jenis Khusus,Bare Core,Kerajinan,0.0
Kalimantan Selatan,HKM HD Kemitraan,Kayu Perkebunan,Jenis Khusus,Bare Core,Bangunan Prefabrikasi,0.0
Bali,Hutan Produksi,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Bangunan Prefabrikasi,0.0
Daerah Istimewa Yogyakarta,Hutan Lindung,Limbah,Kelompok Meranti,Bare Core,Veneer,0.0
Jawa Tengah,IUPHHK HTI,Kayu Tanaman,Kayu Eboni,Bare Core,Bangunan Prefabrikasi,0.0
Jawa Timur,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Bare Core,Paper,0.0
Kalimantan Selatan,IUPHHK HTI,Limbah,Jenis Khusus,Bare Core,Panel,0.0
Bali,UPHHK HTR,Limbah,Jenis Kayu Lainnya,Bare Core,Woodworking,0.0
Daerah Istimewa Yogyakarta,Hutan Lindung,Limbah,Kayu Indah,Bare Core,Bangunan Prefabrikasi,0.0
Jawa Tengah,IUPHHK HA,Kayu Tanaman,Jenis Khusus,Bare Core,Veneer,0.0
Jawa Timur,IUPHHK HTI,Setengah Jadi,Kelompok Meranti,Bare Core,Pulp,0.0
Kalimantan Selatan,IUPHHK RE,Kayu Tanaman,Rimba Campuran,Bare Core,Panel,0.0
Bali,Hutan Lindung,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Panel,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Limbah,Rimba Campuran,Bare Core,Veneer,0.0
Jawa Tengah,UPHHK HTR,Setengah Jadi,Rimba Campuran,Bare Core,Furnitur Kayu,0.0
Jawa Timur,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Bare Core,Paper,0.0
Kalimantan Selatan,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Bare Core,Chipwood,0.0
Bali,Hutan Lindung,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Woodworking,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Alam,Jenis Khusus,Bare Core,Panel,0.0
Jawa Tengah,HKM HD Kemitraan,Kayu Perkebunan,Kelompok Meranti,Bare Core,Chipwood,0.0
Jawa Timur,IUPHHK RE,Kayu Perkebunan,Kelompok Meranti,Bare Core,Pulp,0.0
Kalimantan Selatan,Hutan Lindung,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Furnitur Kayu,0.0
Papua,IUPHHK HA,Kayu Alam,Jenis Kayu Lainnya,Biomassa Kayu,Kerajinan,86.93
Sumatera Selatan,UPHHK HTR,Limbah,Kelompok Meranti,Biomassa Kayu,Pulp,33.33
Papua,IUPHHK HTI,Kayu Perkebunan,Jenis Kayu Lainnya,Biomassa Kayu,Veneer,157.44
Sumatera Selatan,IUPHHK HA,Kayu Tanaman,Kayu Indah,Biomassa Kayu,Kerajinan,13.29
Papua,Hutan Lindung,Kayu Tanaman,Rimba Campuran,Biomassa Kayu,Woodworking,230.21
Sumatera Selatan,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Biomassa Kayu,Kerajinan,33.4
Papua,IUPHHK HTI,Kayu Alam,Rimba Campuran,Biomassa Kayu,Paper,110.35
Sumatera Selatan,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Biomassa Kayu,Furnitur Kayu,11.28
Papua,Hutan Lindung,Kayu Perkebunan,Hutan Tanaman Industri,Biomassa Kayu,Kerajinan,0.0
Sumatera Selatan,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Biomassa Kayu,Kerajinan,0.0
Papua,IUPHHK RE,Kayu Alam,Rimba Campuran,Biomassa Kayu,Veneer,0.0
Sumatera Selatan,IUPHHK RE,Kayu Alam,Kayu Eboni,Biomassa Kayu,Panel,0.0
Papua,IUPHHK RE,Setengah Jadi,Jenis Khusus,Biomassa Kayu,Veneer,0.0
Sumatera Selatan,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Biomassa Kayu,Bangunan Prefabrikasi,0.0
Papua,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Biomassa Kayu,Bangunan Prefabrikasi,0.0
Sumatera Selatan,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Biomassa Kayu,Furnitur Kayu,0.0
Papua,Hutan Produksi,Kayu Alam,Kayu Indah,Biomassa Kayu,Pulp,0.0
Sumatera Selatan,UPHHK HTR,Kayu Perkebunan,Kelompok Meranti,Biomassa Kayu,Paper,0.0
Papua,Hutan Lindung,Setengah Jadi,Jenis Khusus,Biomassa Kayu,Veneer,0.0
Sumatera Selatan,IUPHHK RE,Setengah Jadi,Rimba Campuran,Biomassa Kayu,Woodworking,0.0
Papua,IUPHHK HTI,Kayu Alam,Kayu Indah,Biomassa Kayu,Furnitur Kayu,0.0
Sumatera Selatan,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Biomassa Kayu,Bangunan Prefabrikasi,0.0
Papua,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Biomassa Kayu,Veneer,0.0
Sumatera Selatan,Hutan Lindung,Kayu Perkebunan,Jenis Kayu Lainnya,Biomassa Kayu,Woodworking,0.0
Bali,UPHHK HTR,Kayu Alam,Kayu Eboni,Blockboard,Paper,30.01
Daerah Istimewa Yogyakarta,Hutan Produksi,Setengah Jadi,Jenis Khusus,Blockboard,Kerajinan,396.7
Jawa Tengah,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Blockboard,Kerajinan,10298.08
Jawa Timur,IUPHHK HA,Kayu Alam,Hutan Tanaman Industri,Blockboard,Furnitur Kayu,11877.68
Kalimantan Selatan,Hutan Produksi,Kayu Tanaman,Rimba Campuran,Blockboard,Pulp,108.24
Kalimantan Timur,HKM HD HTR,Kayu Alam,Jenis Kayu Lainnya,Blockboard,Kerajinan,37.51
Bali,IUPHHK RE,Setengah Jadi,Rimba Campuran,Blockboard,Panel,38.58
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Blockboard,Woodworking,711.29
Jawa Tengah,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Kerajinan,8490.54
Jawa Timur,IUPHHK HA,Limbah,Jenis Khusus,Blockboard,Bangunan Prefabrikasi,10934.55
Kalimantan Selatan,Hutan Produksi,Limbah,Rimba Campuran,Blockboard,Panel,77.69
Kalimantan Timur,Hutan Produksi,Kayu Tanaman,Jenis Kayu Lainnya,Blockboard,Pulp,0.0
Bali,IUPHHK HTI,Setengah Jadi,Rimba Campuran,Blockboard,Bangunan Prefabrikasi,68.59
Daerah Istimewa Yogyakarta,IUPHHK HA,Setengah Jadi,Rimba Campuran,Blockboard,Veneer,698.04
Jawa Tengah,HKM HD Kemitraan,Kayu Perkebunan,Kayu Indah,Blockboard,Paper,7069.07
Jawa Timur,UPHHK HTR,Setengah Jadi,Kelompok Meranti,Blockboard,Woodworking,11723.52
Kalimantan Selatan,HKM HD Kemitraan,Limbah,Jenis Khusus,Blockboard,Veneer,0.0
Kalimantan Timur,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Blockboard,Bangunan Prefabrikasi,0.0
Bali,Hutan Lindung,Setengah Jadi,Jenis Kayu Lainnya,Blockboard,Kerajinan,19.29
Daerah Istimewa Yogyakarta,IUPHHK HA,Limbah,Hutan Tanaman Industri,Blockboard,Woodworking,0.0
Jawa Tengah,IUPHHK HA,Kayu Tanaman,Jenis Kayu Lainnya,Blockboard,Paper,4930.83
Jawa Timur,IUPHHK RE,Setengah Jadi,Kayu Eboni,Blockboard,Woodworking,8193.56
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Hutan Tanaman Industri,Blockboard,Paper,0.0
Kalimantan Timur,UPHHK HTR,Kayu Alam,Kelompok Meranti,Blockboard,Panel,0.0
Bali,HKM HD HTR,Setengah Jadi,Jenis Khusus,Blockboard,Paper,0.0
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Blockboard,Kerajinan,0.0
Jawa Tengah,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Blockboard,Chipwood,0.0
Jawa Timur,IUPHHK HA,Limbah,Rimba Campuran,Blockboard,Panel,0.0
Kalimantan Selatan,IUPHHK HA,Kayu Alam,Kayu Indah,Blockboard,Panel,0.0
Kalimantan Timur,IUPHHK HA,Limbah,Jenis Kayu Lainnya,Blockboard,Furnitur Kayu,0.0
Bali,UPHHK HTR,Kayu Tanaman,Kayu Eboni,Blockboard,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Tanaman,Kelompok Meranti,Blockboard,Veneer,0.0
Jawa Tengah,Hutan Produksi,Limbah,Kayu Eboni,Blockboard,Panel,0.0
Jawa Timur,Hutan Lindung,Kayu Tanaman,Rimba Campuran,Blockboard,Chipwood,0.0
Kalimantan Selatan,HKM HD Kemitraan,Kayu Tanaman,Kayu Indah,Blockboard,Veneer,0.0
Kalimantan Timur,Hutan Produksi,Kayu Tanaman,Kayu Eboni,Blockboard,Chipwood,0.0
Bali,IUPHHK HA,Kayu Alam,Jenis Kayu Lainnya,Blockboard,Bangunan Prefabrikasi,0.0
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Tanaman,Kayu Indah,Blockboard,Panel,0.0
Jawa Tengah,IUPHHK RE,Setengah Jadi,Hutan Tanaman Industri,Blockboard,Pulp,0.0
Jawa Timur,UPHHK HTR,Setengah Jadi,Kayu Eboni,Blockboard,Pulp,0.0
Kalimantan Selatan,HKM HD Kemitraan,Limbah,Rimba Campuran,Blockboard,Pulp,0.0
Kalimantan Timur,UPHHK HTR,Kayu Perkebunan,Jenis Khusus,Blockboard,Pulp,0.0
Bali,HKM HD Kemitraan,Kayu Perkebunan,Kayu Indah,Blockboard,Veneer,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Setengah Jadi,Jenis Kayu Lainnya,Blockboard,Kerajinan,0.0
Jawa Tengah,IUPHHK HTI,Kayu Perkebunan,Jenis Khusus,Blockboard,Pulp,0.0
Jawa Timur,HKM HD HTR,Limbah,Kayu Eboni,Blockboard,Woodworking,0.0
Kalimantan Selatan,HKM HD HTR,Limbah,Jenis Khusus,Blockboard,Woodworking,0.0
Kalimantan Timur,UPHHK HTR,Kayu Perkebunan,Rimba Campuran,Blockboard,Bangunan Prefabrikasi,0.0
Bali,Hutan Produksi,Setengah Jadi,Jenis Khusus,Blockboard,Paper,0.0
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Blockboard,Panel,0.0
Jawa Tengah,HKM HD HTR,Kayu Alam,Jenis Kayu Lainnya,Blockboard,Chipwood,0.0
Jawa Timur,UPHHK HTR,Setengah Jadi,Jenis Khusus,Blockboard,Furnitur Kayu,0.0
Kalimantan Selatan,IUPHHK HA,Setengah Jadi,Kayu Indah,Blockboard,Bangunan Prefabrikasi,0.0
Kalimantan Timur,UPHHK HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Blockboard,Panel,0.0
Bali,IUPHHK HTI,Setengah Jadi,Rimba Campuran,Blockboard,Chipwood,0.0
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Tanaman,Rimba Campuran,Blockboard,Bangunan Prefabrikasi,0.0
Jawa Tengah,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Blockboard,Paper,0.0
Jawa Timur,IUPHHK RE,Setengah Jadi,Kayu Indah,Blockboard,Pulp,0.0
Kalimantan Selatan,IUPHHK RE,Kayu Perkebunan,Rimba Campuran,Blockboard,Kerajinan,0.0
Kalimantan Timur,UPHHK HTR,Kayu Tanaman,Jenis Kayu Lainnya,Blockboard,Chipwood,0.0
Bali,IUPHHK RE,Kayu Perkebunan,Kayu Indah,Blockboard,Veneer,0.0
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Kayu Alam,Kayu Eboni,Blockboard,Kerajinan,0.0
Jawa Tengah,UPHHK HTR,Kayu Alam,Jenis Khusus,Blockboard,Bangunan Prefabrikasi,0.0
Jawa Timur,HKM HD Kemitraan,Kayu Perkebunan,Rimba Campuran,Blockboard,Veneer,0.0
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Blockboard,Kerajinan,0.0
Kalimantan Timur,UPHHK HTR,Kayu Perkebunan,Kelompok Meranti,Blockboard,Furnitur Kayu,0.0
Bali,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Veneer,0.0
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Alam,Kayu Indah,Blockboard,Panel,0.0
Jawa Tengah,Hutan Lindung,Kayu Tanaman,Kelompok Meranti,Blockboard,Pulp,0.0
Jawa Timur,HKM HD Kemitraan,Setengah Jadi,Jenis Kayu Lainnya,Blockboard,Paper,0.0
Kalimantan Selatan,UPHHK HTR,Limbah,Rimba Campuran,Blockboard,Woodworking,0.0
Kalimantan Timur,IUPHHK HTI,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Bangunan Prefabrikasi,0.0
Aceh,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Furnitur Kayu,45.95
Bali,IUPHHK RE,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Paper,339.52
Banten,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,1505.64
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,130.34
Jambi,IUPHHK RE,Setengah Jadi,Kayu Indah,Kayu Gergajian,Woodworking,3829.39
Jawa Barat,HKM HD HTR,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,2015.7
Jawa Tengah,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Paper,31540.93
Jawa Timur,HKM HD HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Paper,36404.01
Kalimantan Barat,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Pulp,300.46
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,5453.65
Kalimantan Tengah,Hutan Produksi,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,4602.44
Kalimantan Timur,Hutan Lindung,Limbah,Rimba Campuran,Kayu Gergajian,Kerajinan,2781.17
Kalimantan Utara,HKM HD HTR,Kayu Alam,Kayu Eboni,Kayu Gergajian,Pulp,972.26
Lampung,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Veneer,4524.62
Maluku,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,111.81
Papua,Hutan Lindung,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,6863.86
Papua Barat,UPHHK HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Kerajinan,5552.03
Riau,HKM HD Kemitraan,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,6088.99
Sulawesi Barat,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Panel,10.0
Sulawesi Selatan,HKM HD Kemitraan,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,93.92
Sulawesi Tengah,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,2442.49
Sulawesi Tenggara,Hutan Produksi,Kayu Alam,Rimba Campuran,Kayu Gergajian,Kerajinan,489.68
Sumatera Barat,UPHHK HTR,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Panel,47.51
Sumatera Selatan,Hutan Lindung,Limbah,Rimba Campuran,Kayu Gergajian,Paper,2833.2
Sumatera Utara,IUPHHK RE,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,14633.53
Aceh,IUPHHK HA,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,42.7
Bali,IUPHHK HTI,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,1234.19
Banten,HKM HD Kemitraan,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Chipwood,395.89
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Paper,67.75
Jambi,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,3110.36
Jawa Barat,UPHHK HTR,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Woodworking,2057.81
Jawa Tengah,Hutan Produksi,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,25592.35
Jawa Timur,HKM HD Kemitraan,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,37105.95
Kalimantan Barat,IUPHHK RE,Limbah,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,468.54
Kalimantan Selatan,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Woodworking,4570.48
Kalimantan Tengah,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Paper,6392.88
Kalimantan Timur,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Chipwood,3338.61
Kalimantan Utara,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Woodworking,619.25
Lampung,IUPHHK HTI,Kayu Alam,Kayu Indah,Kayu Gergajian,Kerajinan,3399.58
Maluku,UPHHK HTR,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,81.06
Papua,IUPHHK HA,Limbah,Kayu Eboni,Kayu Gergajian,Panel,9351.92
Papua Barat,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Panel,4876.0
Riau,IUPHHK HTI,Limbah,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,5876.57
Sulawesi Barat,Hutan Lindung,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Veneer,44.78
Sulawesi Selatan,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Paper,33.52
Sulawesi Tengah,Hutan Lindung,Limbah,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,1726.3
Sulawesi Tenggara,IUPHHK HTI,Kayu Alam,Kayu Indah,Kayu Gergajian,Chipwood,1702.11
Sumatera Barat,IUPHHK HA,Setengah Jadi,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,26.43
Sumatera Selatan,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Panel,3667.44
Sumatera Utara,Hutan Lindung,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,15906.87
Aceh,HKM HD HTR,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,0.0
Bali,HKM HD HTR,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,870.68
Banten,HKM HD HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Paper,900.81
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Alam,Rimba Campuran,Kayu Gergajian,Veneer,140.43
Jambi,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,3328.44
Jawa Barat,UPHHK HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Veneer,2127.29
Jawa Tengah,HKM HD HTR,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Veneer,23829.78
Jawa Timur,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Veneer,40876.64
Kalimantan Barat,HKM HD Kemitraan,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,578.4
Kalimantan Selatan,IUPHHK HTI,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,3081.52
Kalimantan Tengah,IUPHHK HTI,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Panel,5385.25
Kalimantan Timur,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Veneer,2272.89
Kalimantan Utara,UPHHK HTR,Limbah,Kelompok Meranti,Kayu Gergajian,Panel,595.32
Lampung,HKM HD Kemitraan,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Pulp,2186.6
Maluku,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,115.36
Papua,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Furnitur Kayu,7000.17
Papua Barat,Hutan Lindung,Kayu Alam,Kayu Eboni,Kayu Gergajian,Paper,6064.13
Riau,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,6049.36
Sulawesi Barat,Hutan Produksi,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Panel,77.0
Sulawesi Selatan,IUPHHK RE,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,55.12
Sulawesi Tengah,IUPHHK RE,Limbah,Jenis Khusus,Kayu Gergajian,Veneer,2626.7
Sulawesi Tenggara,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Paper,933.06
Sumatera Barat,IUPHHK HA,Limbah,Jenis Khusus,Kayu Gergajian,Woodworking,37.29
Sumatera Selatan,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,4463.48
Sumatera Utara,Hutan Lindung,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Veneer,16197.17
Aceh,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Bali,Hutan Lindung,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,808.42
Banten,IUPHHK RE,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,504.64
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Panel,25.34
Jambi,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Chipwood,236.57
Jawa Barat,Hutan Lindung,Limbah,Rimba Campuran,Kayu Gergajian,Panel,778.13
Jawa Tengah,Hutan Lindung,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Pulp,13987.37
Jawa Timur,IUPHHK HTI,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Paper,19557.83
Kalimantan Barat,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Veneer,39.78
Kalimantan Selatan,HKM HD Kemitraan,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Paper,2837.66
Kalimantan Tengah,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Chipwood,2406.5
Kalimantan Timur,Hutan Produksi,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,1338.12
Kalimantan Utara,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,464.25
