tahun,bulan,provinsi,jenis,volume
2023,Juli,Kalimantan Timur,Blockboard,0.0
2023,Agustus,Bali,Blockboard,0.0
2023,Agustus,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,Agustus,Jawa Tengah,Blockboard,0.0
2023,Agustus,Jawa Timur,Blockboard,0.0
2023,Agustus,Kalimantan Selatan,Blockboard,0.0
2023,Agustus,Kalimantan Timur,Blockboard,0.0
2023,September,Bali,Blockboard,0.0
2023,September,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,September,Jawa Tengah,Blockboard,0.0
2023,September,Jawa Timur,Blockboard,0.0
2023,September,Kalimantan Selatan,Blockboard,0.0
2023,September,Kalimantan Timur,Blockboard,0.0
2023,Oktober,Bali,Blockboard,0.0
2023,Oktober,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,Oktober,Jawa Tengah,Blockboard,0.0
2023,Oktober,Jawa Timur,Blockboard,0.0
2023,Oktober,Kalimantan Selatan,Blockboard,0.0
2023,Oktober,Kalimantan Timur,Blockboard,0.0
2023,November,Bali,Blockboard,0.0
2023,November,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,November,Jawa Tengah,Blockboard,0.0
2023,November,Jawa Timur,Blockboard,0.0
2023,November,Kalimantan Selatan,Blockboard,0.0
2023,November,Kalimantan Timur,Blockboard,0.0
2023,Desember,Bali,Blockboard,0.0
2023,Desember,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,Desember,Jawa Tengah,Blockboard,0.0
2023,Desember,Jawa Timur,Blockboard,0.0
2023,Desember,Kalimantan Selatan,Blockboard,0.0
2023,Desember,Kalimantan Timur,Blockboard,0.0
2023,Januari,Aceh,Kayu Gergajian,45.95
2023,Januari,Bali,Kayu Gergajian,339.52
2023,Januari,Banten,Kayu Gergajian,1505.64
2023,Januari,Daerah Istimewa Yogyakarta,Kayu Gergajian,130.34
2023,Januari,Jambi,Kayu Gergajian,3829.39
2023,Januari,Jawa Barat,Kayu Gergajian,2015.7
2023,Januari,Jawa Tengah,Kayu Gergajian,31540.93
2023,Januari,Jawa Timur,Kayu Gergajian,36404.01
2023,Januari,Kalimantan Barat,Kayu Gergajian,300.46
2023,Januari,Kalimantan Selatan,Kayu Gergajian,5453.65
2023,Januari,Kalimantan Tengah,Kayu Gergajian,4602.44
2023,Januari,Kalimantan Timur,Kayu Gergajian,2781.17
2023,Januari,Kalimantan Utara,Kayu Gergajian,972.26
2023,Januari,Lampung,Kayu Gergajian,4524.62
2023,Januari,Maluku,Kayu Gergajian,111.81
2023,Januari,Papua,Kayu Gergajian,6863.86
2023,Januari,Papua Barat,Kayu Gergajian,5552.03
2023,Januari,Riau,Kayu Gergajian,6088.99
2023,Januari,Sulawesi Barat,Kayu Gergajian,10.0
2023,Januari,Sulawesi Selatan,Kayu Gergajian,93.92
2023,Januari,Sulawesi Tengah,Kayu Gergajian,2442.49
2023,Januari,Sulawesi Tenggara,Kayu Gergajian,489.68
2023,Januari,Sumatera Barat,Kayu Gergajian,47.51
2023,Januari,Sumatera Selatan,Kayu Gergajian,2833.2
2023,Januari,Sumatera Utara,Kayu Gergajian,14633.53
2023,Februari,Aceh,Kayu Gergajian,42.7
2023,Februari,Bali,Kayu Gergajian,1234.19
2023,Februari,Banten,Kayu Gergajian,395.89
2023,Februari,Daerah Istimewa Yogyakarta,Kayu Gergajian,67.75
2023,Februari,Jambi,Kayu Gergajian,3110.36
2023,Februari,Jawa Barat,Kayu Gergajian,2057.81
2023,Februari,Jawa Tengah,Kayu Gergajian,25592.35
2023,Februari,Jawa Timur,Kayu Gergajian,37105.95
2023,Februari,Kalimantan Barat,Kayu Gergajian,468.54
2023,Februari,Kalimantan Selatan,Kayu Gergajian,4570.48
2023,Februari,Kalimantan Tengah,Kayu Gergajian,6392.88
2023,Februari,Kalimantan Timur,Kayu Gergajian,3338.61
2023,Februari,Kalimantan Utara,Kayu Gergajian,619.25
2023,Februari,Lampung,Kayu Gergajian,3399.58
2023,Februari,Maluku,Kayu Gergajian,81.06
2023,Februari,Papua,Kayu Gergajian,9351.92
2023,Februari,Papua Barat,Kayu Gergajian,4876.0
2023,Februari,Riau,Kayu Gergajian,5876.57
2023,Februari,Sulawesi Barat,Kayu Gergajian,44.78
2023,Februari,Sulawesi Selatan,Kayu Gergajian,33.52
2023,Februari,Sulawesi Tengah,Kayu Gergajian,1726.3
2023,Februari,Sulawesi Tenggara,Kayu Gergajian,1702.11
2023,Februari,Sumatera Barat,Kayu Gergajian,26.43
2023,Februari,Sumatera Selatan,Kayu Gergajian,3667.44
2023,Februari,Sumatera Utara,Kayu Gergajian,15906.87
2023,Maret,Aceh,Kayu Gergajian,0.0
2023,Maret,Bali,Kayu Gergajian,870.68
2023,Maret,Banten,Kayu Gergajian,900.81
2023,Maret,Daerah Istimewa Yogyakarta,Kayu Gergajian,140.43
2023,Maret,Jambi,Kayu Gergajian,3328.44
2023,Maret,Jawa Barat,Kayu Gergajian,2127.29
2023,Maret,Jawa Tengah,Kayu Gergajian,23829.78
2023,Maret,Jawa Timur,Kayu Gergajian,40876.64
2023,Maret,Kalimantan Barat,Kayu Gergajian,578.4
2023,Maret,Kalimantan Selatan,Kayu Gergajian,3081.52
2023,Maret,Kalimantan Tengah,Kayu Gergajian,5385.25
2023,Maret,Kalimantan Timur,Kayu Gergajian,2272.89
2023,Maret,Kalimantan Utara,Kayu Gergajian,595.32
2023,Maret,Lampung,Kayu Gergajian,2186.6
2023,Maret,Maluku,Kayu Gergajian,115.36
2023,Maret,Papua,Kayu Gergajian,7000.17
2023,Maret,Papua Barat,Kayu Gergajian,6064.13
2023,Maret,Riau,Kayu Gergajian,6049.36
2023,Maret,Sulawesi Barat,Kayu Gergajian,77.0
2023,Maret,Sulawesi Selatan,Kayu Gergajian,55.12
2023,Maret,Sulawesi Tengah,Kayu Gergajian,2626.7
2023,Maret,Sulawesi Tenggara,Kayu Gergajian,933.06
2023,Maret,Sumatera Barat,Kayu Gergajian,37.29
2023,Maret,Sumatera Selatan,Kayu Gergajian,4463.48
2023,Maret,Sumatera Utara,Kayu Gergajian,16197.17
2023,April,Aceh,Kayu Gergajian,0.0
2023,April,Bali,Kayu Gergajian,808.42
2023,April,Banten,Kayu Gergajian,504.64
2023,April,Daerah Istimewa Yogyakarta,Kayu Gergajian,25.34
2023,April,Jambi,Kayu Gergajian,236.57
2023,April,Jawa Barat,Kayu Gergajian,778.13
2023,April,Jawa Tengah,Kayu Gergajian,13987.37
2023,April,Jawa Timur,Kayu Gergajian,19557.83
2023,April,Kalimantan Barat,Kayu Gergajian,39.78
2023,April,Kalimantan Selatan,Kayu Gergajian,2837.66
2023,April,Kalimantan Tengah,Kayu Gergajian,2406.5
2023,April,Kalimantan Timur,Kayu Gergajian,1338.12
2023,April,Kalimantan Utara,Kayu Gergajian,464.25
2023,April,Lampung,Kayu Gergajian,1103.65
2023,April,Maluku,Kayu Gergajian,108.14
2023,April,Papua,Kayu Gergajian,4439.53
2023,April,Papua Barat,Kayu Gergajian,2321.13
2023,April,Riau,Kayu Gergajian,712.11
2023,April,Sulawesi Barat,Kayu Gergajian,0.0
2023,April,Sulawesi Selatan,Kayu Gergajian,0.0
2023,April,Sulawesi Tengah,Kayu Gergajian,1304.55
2023,April,Sulawesi Tenggara,Kayu Gergajian,210.25
2023,April,Sumatera Barat,Kayu Gergajian,21.85
2023,April,Sumatera Selatan,Kayu Gergajian,3549.71
2023,April,Sumatera Utara,Kayu Gergajian,6576.03
2023,Mei,Aceh,Kayu Gergajian,0.0
2023,Mei,Bali,Kayu Gergajian,0.0
2023,Mei,Banten,Kayu Gergajian,0.0
2023,Mei,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,Mei,Jambi,Kayu Gergajian,0.0
2023,Mei,Jawa Barat,Kayu Gergajian,0.0
2023,Mei,Jawa Tengah,Kayu Gergajian,0.0
2023,Mei,Jawa Timur,Kayu Gergajian,0.0
2023,Mei,Kalimantan Barat,Kayu Gergajian,0.0
2023,Mei,Kalimantan Selatan,Kayu Gergajian,0.0
2023,Mei,Kalimantan Tengah,Kayu Gergajian,0.0
2023,Mei,Kalimantan Timur,Kayu Gergajian,0.0
2023,Mei,Kalimantan Utara,Kayu Gergajian,0.0
2023,Mei,Lampung,Kayu Gergajian,0.0
2023,Mei,Maluku,Kayu Gergajian,0.0
2023,Mei,Papua,Kayu Gergajian,0.0
2023,Mei,Papua Barat,Kayu Gergajian,0.0
2023,Mei,Riau,Kayu Gergajian,0.0
2023,Mei,Sulawesi Barat,Kayu Gergajian,0.0
2023,Mei,Sulawesi Selatan,Kayu Gergajian,0.0
2023,Mei,Sulawesi Tengah,Kayu Gergajian,0.0
2023,Mei,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,Mei,Sumatera Barat,Kayu Gergajian,0.0
2023,Mei,Sumatera Selatan,Kayu Gergajian,0.0
2023,Mei,Sumatera Utara,Kayu Gergajian,0.0
2023,Juni,Aceh,Kayu Gergajian,0.0
2023,Juni,Bali,Kayu Gergajian,0.0
2023,Juni,Banten,Kayu Gergajian,0.0
2023,Juni,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,Juni,Jambi,Kayu Gergajian,0.0
2023,Juni,Jawa Barat,Kayu Gergajian,0.0
2023,Juni,Jawa Tengah,Kayu Gergajian,0.0
2023,Juni,Jawa Timur,Kayu Gergajian,0.0
2023,Juni,Kalimantan Barat,Kayu Gergajian,0.0
2023,Juni,Kalimantan Selatan,Kayu Gergajian,0.0
2023,Juni,Kalimantan Tengah,Kayu Gergajian,0.0
2023,Juni,Kalimantan Timur,Kayu Gergajian,0.0
2023,Juni,Kalimantan Utara,Kayu Gergajian,0.0
2023,Juni,Lampung,Kayu Gergajian,0.0
2023,Juni,Maluku,Kayu Gergajian,0.0
2023,Juni,Papua,Kayu Gergajian,0.0
2023,Juni,Papua Barat,Kayu Gergajian,0.0
2023,Juni,Riau,Kayu Gergajian,0.0
2023,Juni,Sulawesi Barat,Kayu Gergajian,0.0
2023,Juni,Sulawesi Selatan,Kayu Gergajian,0.0
2023,Juni,Sulawesi Tengah,Kayu Gergajian,0.0
2023,Juni,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,Juni,Sumatera Barat,Kayu Gergajian,0.0
2023,Juni,Sumatera Selatan,Kayu Gergajian,0.0
2023,Juni,Sumatera Utara,Kayu Gergajian,0.0
2023,Juli,Aceh,Kayu Gergajian,0.0
2023,Juli,Bali,Kayu Gergajian,0.0
2023,Juli,Banten,Kayu Gergajian,0.0
2023,Juli,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,Juli,Jambi,Kayu Gergajian,0.0
2023,Juli,Jawa Barat,Kayu Gergajian,0.0
2023,Juli,Jawa Tengah,Kayu Gergajian,0.0
2023,Juli,Jawa Timur,Kayu Gergajian,0.0
2023,Juli,Kalimantan Barat,Kayu Gergajian,0.0
2023,Juli,Kalimantan Selatan,Kayu Gergajian,0.0
2023,Juli,Kalimantan Tengah,Kayu Gergajian,0.0
2023,Juli,Kalimantan Timur,Kayu Gergajian,0.0
2023,Juli,Kalimantan Utara,Kayu Gergajian,0.0
2023,Juli,Lampung,Kayu Gergajian,0.0
2023,Juli,Maluku,Kayu Gergajian,0.0
2023,Juli,Papua,Kayu Gergajian,0.0
2023,Juli,Papua Barat,Kayu Gergajian,0.0
2023,Juli,Riau,Kayu Gergajian,0.0
2023,Juli,Sulawesi Barat,Kayu Gergajian,0.0
2023,Juli,Sulawesi Selatan,Kayu Gergajian,0.0
2023,Juli,Sulawesi Tengah,Kayu Gergajian,0.0
2023,Juli,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,Juli,Sumatera Barat,Kayu Gergajian,0.0
2023,Juli,Sumatera Selatan,Kayu Gergajian,0.0
2023,Juli,Sumatera Utara,Kayu Gergajian,0.0
2023,Agustus,Aceh,Kayu Gergajian,0.0
2023,Agustus,Bali,Kayu Gergajian,0.0
2023,Agustus,Banten,Kayu Gergajian,0.0
2023,Agustus,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,Agustus,Jambi,Kayu Gergajian,0.0
2023,Agustus,Jawa Barat,Kayu Gergajian,0.0
2023,Agustus,Jawa Tengah,Kayu Gergajian,0.0
2023,Agustus,Jawa Timur,Kayu Gergajian,0.0
2023,Agustus,Kalimantan Barat,Kayu Gergajian,0.0
2023,Agustus,Kalimantan Selatan,Kayu Gergajian,0.0
2023,Agustus,Kalimantan Tengah,Kayu Gergajian,0.0
2023,Agustus,Kalimantan Timur,Kayu Gergajian,0.0
2023,Agustus,Kalimantan Utara,Kayu Gergajian,0.0
2023,Agustus,Lampung,Kayu Gergajian,0.0
2023,Agustus,Maluku,Kayu Gergajian,0.0
2023,Agustus,Papua,Kayu Gergajian,0.0
2023,Agustus,Papua Barat,Kayu Gergajian,0.0
2023,Agustus,Riau,Kayu Gergajian,0.0
2023,Agustus,Sulawesi Barat,Kayu Gergajian,0.0
2023,Agustus,Sulawesi Selatan,Kayu Gergajian,0.0
2023,Agustus,Sulawesi Tengah,Kayu Gergajian,0.0
2023,Agustus,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,Agustus,Sumatera Barat,Kayu Gergajian,0.0
2023,Agustus,Sumatera Selatan,Kayu Gergajian,0.0
2023,Agustus,Sumatera Utara,Kayu Gergajian,0.0
2023,September,Aceh,Kayu Gergajian,0.0
2023,September,Bali,Kayu Gergajian,0.0
2023,September,Banten,Kayu Gergajian,0.0
2023,September,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,September,Jambi,Kayu Gergajian,0.0
2023,September,Jawa Barat,Kayu Gergajian,0.0
2023,September,Jawa Tengah,Kayu Gergajian,0.0
2023,September,Jawa Timur,Kayu Gergajian,0.0
2023,September,Kalimantan Barat,Kayu Gergajian,0.0
2023,September,Kalimantan Selatan,Kayu Gergajian,0.0
2023,September,Kalimantan Tengah,Kayu Gergajian,0.0
2023,September,Kalimantan Timur,Kayu Gergajian,0.0
2023,September,Kalimantan Utara,Kayu Gergajian,0.0
2023,September,Lampung,Kayu Gergajian,0.0
2023,September,Maluku,Kayu Gergajian,0.0
2023,September,Papua,Kayu Gergajian,0.0
2023,September,Papua Barat,Kayu Gergajian,0.0
2023,September,Riau,Kayu Gergajian,0.0
2023,September,Sulawesi Barat,Kayu Gergajian,0.0
2023,September,Sulawesi Selatan,Kayu Gergajian,0.0
2023,September,Sulawesi Tengah,Kayu Gergajian,0.0
2023,September,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,September,Sumatera Barat,Kayu Gergajian,0.0
2023,September,Sumatera Selatan,Kayu Gergajian,0.0
2023,September,Sumatera Utara,Kayu Gergajian,0.0
2023,Oktober,Aceh,Kayu Gergajian,0.0
2023,Oktober,Bali,Kayu Gergajian,0.0
2023,Oktober,Banten,Kayu Gergajian,0.0
2023,Oktober,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,Oktober,Jambi,Kayu Gergajian,0.0
2023,Oktober,Jawa Barat,Kayu Gergajian,0.0
2023,Oktober,Jawa Tengah,Kayu Gergajian,0.0
2023,Oktober,Jawa Timur,Kayu Gergajian,0.0
2023,Oktober,Kalimantan Barat,Kayu Gergajian,0.0
2023,Oktober,Kalimantan Selatan,Kayu Gergajian,0.0
2023,Oktober,Kalimantan Tengah,Kayu Gergajian,0.0
2023,Oktober,Kalimantan Timur,Kayu Gergajian,0.0
2023,Oktober,Kalimantan Utara,Kayu Gergajian,0.0
2023,Oktober,Lampung,Kayu Gergajian,0.0
2023,Oktober,Maluku,Kayu Gergajian,0.0
2023,Oktober,Papua,Kayu Gergajian,0.0
2023,Oktober,Papua Barat,Kayu Gergajian,0.0
2023,Oktober,Riau,Kayu Gergajian,0.0
2023,Oktober,Sulawesi Barat,Kayu Gergajian,0.0
2023,Oktober,Sulawesi Selatan,Kayu Gergajian,0.0
2023,Oktober,Sulawesi Tengah,Kayu Gergajian,0.0
2023,Oktober,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,Oktober,Sumatera Barat,Kayu Gergajian,0.0
2023,Oktober,Sumatera Selatan,Kayu Gergajian,0.0
2023,Oktober,Sumatera Utara,Kayu Gergajian,0.0
2023,November,Aceh,Kayu Gergajian,0.0
2023,November,Bali,Kayu Gergajian,0.0
2023,November,Banten,Kayu Gergajian,0.0
2023,November,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,November,Jambi,Kayu Gergajian,0.0
2023,November,Jawa Barat,Kayu Gergajian,0.0
2023,November,Jawa Tengah,Kayu Gergajian,0.0
2023,November,Jawa Timur,Kayu Gergajian,0.0
2023,November,Kalimantan Barat,Kayu Gergajian,0.0
2023,November,Kalimantan Selatan,Kayu Gergajian,0.0
2023,November,Kalimantan Tengah,Kayu Gergajian,0.0
2023,November,Kalimantan Timur,Kayu Gergajian,0.0
2023,November,Kalimantan Utara,Kayu Gergajian,0.0
2023,November,Lampung,Kayu Gergajian,0.0
2023,November,Maluku,Kayu Gergajian,0.0
2023,November,Papua,Kayu Gergajian,0.0
2023,November,Papua Barat,Kayu Gergajian,0.0
2023,November,Riau,Kayu Gergajian,0.0
2023,November,Sulawesi Barat,Kayu Gergajian,0.0
2023,November,Sulawesi Selatan,Kayu Gergajian,0.0
2023,November,Sulawesi Tengah,Kayu Gergajian,0.0
2023,November,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,November,Sumatera Barat,Kayu Gergajian,0.0
2023,November,Sumatera Selatan,Kayu Gergajian,0.0
2023,November,Sumatera Utara,Kayu Gergajian,0.0
2023,Desember,Aceh,Kayu Gergajian,0.0
2023,Desember,Bali,Kayu Gergajian,0.0
2023,Desember,Banten,Kayu Gergajian,0.0
2023,Desember,Daerah Istimewa Yogyakarta,Kayu Gergajian,0.0
2023,Desember,Jambi,Kayu Gergajian,0.0
2023,Desember,Jawa Barat,Kayu Gergajian,0.0
2023,Desember,Jawa Tengah,Kayu Gergajian,0.0
2023,Desember,Jawa Timur,Kayu Gergajian,0.0
2023,Desember,Kalimantan Barat,Kayu Gergajian,0.0
2023,Desember,Kalimantan Selatan,Kayu Gergajian,0.0
2023,Desember,Kalimantan Tengah,Kayu Gergajian,0.0
2023,Desember,Kalimantan Timur,Kayu Gergajian,0.0
2023,Desember,Kalimantan Utara,Kayu Gergajian,0.0
2023,Desember,Lampung,Kayu Gergajian,0.0
2023,Desember,Maluku,Kayu Gergajian,0.0
2023,Desember,Papua,Kayu Gergajian,0.0
2023,Desember,Papua Barat,Kayu Gergajian,0.0
2023,Desember,Riau,Kayu Gergajian,0.0
2023,Desember,Sulawesi Barat,Kayu Gergajian,0.0
2023,Desember,Sulawesi Selatan,Kayu Gergajian,0.0
2023,Desember,Sulawesi Tengah,Kayu Gergajian,0.0
2023,Desember,Sulawesi Tenggara,Kayu Gergajian,0.0
2023,Desember,Sumatera Barat,Kayu Gergajian,0.0
2023,Desember,Sumatera Selatan,Kayu Gergajian,0.0
2023,Desember,Sumatera Utara,Kayu Gergajian,0.0
2023,Januari,Bali,Kayu Lapis dan LVL,193.6
2023,Januari,Banten,Kayu Lapis dan LVL,7328.96
2023,Januari,Daerah Istimewa Yogyakarta,Kayu Lapis dan LVL,0.0
2023,Januari,Jambi,Kayu Lapis dan LVL,10577.56
2023,Januari,Jawa Barat,Kayu Lapis dan LVL,4567.94
2023,Januari,Jawa Tengah,Kayu Lapis dan LVL,72009.7
2023,Januari,Jawa Timur,Kayu Lapis dan LVL,103568.29
2023,Januari,Kalimantan Barat,Kayu Lapis dan LVL,10629.47
2023,Januari,Kalimantan Selatan,Kayu Lapis dan LVL,17663.66
2023,Januari,Kalimantan Tengah,Kayu Lapis dan LVL,6221.84
2023,Januari,Kalimantan Timur,Kayu Lapis dan LVL,13110.68
2023,Januari,Kalimantan Utara,Kayu Lapis dan LVL,8831.0
2023,Januari,Lampung,Kayu Lapis dan LVL,1946.96
2023,Januari,Maluku,Kayu Lapis dan LVL,150.62
2023,Januari,Papua,Kayu Lapis dan LVL,2855.88
2023,Januari,Riau,Kayu Lapis dan LVL,2940.19
2023,Januari,Sumatera Selatan,Kayu Lapis dan LVL,1223.15
2023,Januari,Sumatera Utara,Kayu Lapis dan LVL,3836.09
2023,Februari,Bali,Kayu Lapis dan LVL,275.76
2023,Februari,Banten,Kayu Lapis dan LVL,6888.41
2023,Februari,Daerah Istimewa Yogyakarta,Kayu Lapis dan LVL,0.0
2023,Februari,Jambi,Kayu Lapis dan LVL,9515.07
2023,Februari,Jawa Barat,Kayu Lapis dan LVL,3474.47
2023,Februari,Jawa Tengah,Kayu Lapis dan LVL,59334.89
2023,Februari,Jawa Timur,Kayu Lapis dan LVL,88363.76
2023,Februari,Kalimantan Barat,Kayu Lapis dan LVL,10634.01
2023,Februari,Kalimantan Selatan,Kayu Lapis dan LVL,13661.37
2023,Februari,Kalimantan Tengah,Kayu Lapis dan LVL,5674.33
2023,Februari,Kalimantan Timur,Kayu Lapis dan LVL,9354.58
