tahun,bulan,provinsi,jenis,value
2023,April,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,April,Gorontalo,Kayu Alam,0
2023,April,Impor Bahan Baku,Kayu Alam,0
2023,April,Jambi,Kayu Alam,546.73
2023,April,Jawa Barat,Kayu Alam,0
2023,April,Jawa Tengah,Kayu Alam,14446.01
2023,April,Jawa Timur,Kayu Alam,2858.83
2023,April,Kalimantan Barat,Kayu Alam,5515.33
2023,April,Kalimantan Selatan,Kayu Alam,884.84
2023,April,Kalimantan Tengah,Kayu Alam,69274.79
2023,April,Kalimantan Timur,Kayu Alam,35526.04
2023,April,Kalimantan Utara,Kayu Alam,27577
2023,April,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,April,Lampung,Kayu Alam,0
2023,April,Maluku,Kayu Alam,15760.49
2023,April,Maluku Utara,Kayu Alam,5039.7
2023,April,Nusa Tenggara Barat,Kayu Alam,0
2023,April,Papua,Kayu Alam,16766.04
2023,April,Papua Barat,Kayu Alam,19110.82
2023,April,Riau,Kayu Alam,0
2023,April,Sulawesi Barat,Kayu Alam,0
2023,April,Sulawesi Selatan,Kayu Alam,0
2023,April,Sulawesi Tengah,Kayu Alam,1855.96
2023,April,Sulawesi Tenggara,Kayu Alam,300.35
2023,April,Sumatera Barat,Kayu Alam,0
2023,April,Sumatera Selatan,Kayu Alam,0
2023,April,Sumatera Utara,Kayu Alam,5074.11
2023,Mei,Aceh,Kayu Alam,0
2023,Mei,Bali,Kayu Alam,0
2023,Mei,Banten,Kayu Alam,0
2023,Mei,Bengkulu,Kayu Alam,0
2023,Mei,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Mei,Gorontalo,Kayu Alam,0
2023,Mei,Impor Bahan Baku,Kayu Alam,0
2023,Mei,Jambi,Kayu Alam,0
2023,Mei,Jawa Barat,Kayu Alam,0
2023,Mei,Jawa Tengah,Kayu Alam,0
2023,Mei,Jawa Timur,Kayu Alam,0
2023,Mei,Kalimantan Barat,Kayu Alam,0
2023,Mei,Kalimantan Selatan,Kayu Alam,0
2023,Mei,Kalimantan Tengah,Kayu Alam,0
2023,Mei,Kalimantan Timur,Kayu Alam,0
2023,Mei,Kalimantan Utara,Kayu Alam,0
2023,Mei,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Mei,Lampung,Kayu Alam,0
2023,Mei,Maluku,Kayu Alam,0
2023,Mei,Maluku Utara,Kayu Alam,0
2023,Mei,Nusa Tenggara Barat,Kayu Alam,0
2023,Mei,Papua,Kayu Alam,0
2023,Mei,Papua Barat,Kayu Alam,0
2023,Mei,Riau,Kayu Alam,0
2023,Mei,Sulawesi Barat,Kayu Alam,0
2023,Mei,Sulawesi Selatan,Kayu Alam,0
2023,Mei,Sulawesi Tengah,Kayu Alam,0
2023,Mei,Sulawesi Tenggara,Kayu Alam,0
2023,Mei,Sumatera Barat,Kayu Alam,0
2023,Mei,Sumatera Selatan,Kayu Alam,0
2023,Mei,Sumatera Utara,Kayu Alam,0
2023,Juni,Aceh,Kayu Alam,0
2023,Juni,Bali,Kayu Alam,0
2023,Juni,Banten,Kayu Alam,0
2023,Juni,Bengkulu,Kayu Alam,0
2023,Juni,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Juni,Gorontalo,Kayu Alam,0
2023,Juni,Impor Bahan Baku,Kayu Alam,0
2023,Juni,Jambi,Kayu Alam,0
2023,Juni,Jawa Barat,Kayu Alam,0
2023,Juni,Jawa Tengah,Kayu Alam,0
2023,Juni,Jawa Timur,Kayu Alam,0
2023,Juni,Kalimantan Barat,Kayu Alam,0
2023,Juni,Kalimantan Selatan,Kayu Alam,0
2023,Juni,Kalimantan Tengah,Kayu Alam,0
2023,Juni,Kalimantan Timur,Kayu Alam,0
2023,Juni,Kalimantan Utara,Kayu Alam,0
2023,Juni,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Juni,Lampung,Kayu Alam,0
2023,Juni,Maluku,Kayu Alam,0
2023,Juni,Maluku Utara,Kayu Alam,0
2023,Juni,Nusa Tenggara Barat,Kayu Alam,0
2023,Juni,Papua,Kayu Alam,0
2023,Juni,Papua Barat,Kayu Alam,0
2023,Juni,Riau,Kayu Alam,0
2023,Juni,Sulawesi Barat,Kayu Alam,0
2023,Juni,Sulawesi Selatan,Kayu Alam,0
2023,Juni,Sulawesi Tengah,Kayu Alam,0
2023,Juni,Sulawesi Tenggara,Kayu Alam,0
2023,Juni,Sumatera Barat,Kayu Alam,0
2023,Juni,Sumatera Selatan,Kayu Alam,0
2023,Juni,Sumatera Utara,Kayu Alam,0
2023,Juli,Aceh,Kayu Alam,0
2023,Juli,Bali,Kayu Alam,0
2023,Juli,Banten,Kayu Alam,0
2023,Juli,Bengkulu,Kayu Alam,0
2023,Juli,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Juli,Gorontalo,Kayu Alam,0
2023,Juli,Impor Bahan Baku,Kayu Alam,0
2023,Juli,Jambi,Kayu Alam,0
2023,Juli,Jawa Barat,Kayu Alam,0
2023,Juli,Jawa Tengah,Kayu Alam,0
2023,Juli,Jawa Timur,Kayu Alam,0
2023,Juli,Kalimantan Barat,Kayu Alam,0
2023,Juli,Kalimantan Selatan,Kayu Alam,0
2023,Juli,Kalimantan Tengah,Kayu Alam,0
2023,Juli,Kalimantan Timur,Kayu Alam,0
2023,Juli,Kalimantan Utara,Kayu Alam,0
2023,Juli,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Juli,Lampung,Kayu Alam,0
2023,Juli,Maluku,Kayu Alam,0
2023,Juli,Maluku Utara,Kayu Alam,0
2023,Juli,Nusa Tenggara Barat,Kayu Alam,0
2023,Juli,Papua,Kayu Alam,0
2023,Juli,Papua Barat,Kayu Alam,0
2023,Juli,Riau,Kayu Alam,0
2023,Juli,Sulawesi Barat,Kayu Alam,0
2023,Juli,Sulawesi Selatan,Kayu Alam,0
2023,Juli,Sulawesi Tengah,Kayu Alam,0
2023,Juli,Sulawesi Tenggara,Kayu Alam,0
2023,Juli,Sumatera Barat,Kayu Alam,0
2023,Juli,Sumatera Selatan,Kayu Alam,0
2023,Juli,Sumatera Utara,Kayu Alam,0
2023,Agustus,Aceh,Kayu Alam,0
2023,Agustus,Bali,Kayu Alam,0
2023,Agustus,Banten,Kayu Alam,0
2023,Agustus,Bengkulu,Kayu Alam,0
2023,Agustus,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Agustus,Gorontalo,Kayu Alam,0
2023,Agustus,Impor Bahan Baku,Kayu Alam,0
2023,Agustus,Jambi,Kayu Alam,0
2023,Agustus,Jawa Barat,Kayu Alam,0
2023,Agustus,Jawa Tengah,Kayu Alam,0
2023,Agustus,Jawa Timur,Kayu Alam,0
2023,Agustus,Kalimantan Barat,Kayu Alam,0
2023,Agustus,Kalimantan Selatan,Kayu Alam,0
2023,Agustus,Kalimantan Tengah,Kayu Alam,0
2023,Agustus,Kalimantan Timur,Kayu Alam,0
2023,Agustus,Kalimantan Utara,Kayu Alam,0
2023,Agustus,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Agustus,Lampung,Kayu Alam,0
2023,Agustus,Maluku,Kayu Alam,0
2023,Agustus,Maluku Utara,Kayu Alam,0
2023,Agustus,Nusa Tenggara Barat,Kayu Alam,0
2023,Agustus,Papua,Kayu Alam,0
2023,Agustus,Papua Barat,Kayu Alam,0
2023,Agustus,Riau,Kayu Alam,0
2023,Agustus,Sulawesi Barat,Kayu Alam,0
2023,Agustus,Sulawesi Selatan,Kayu Alam,0
2023,Agustus,Sulawesi Tengah,Kayu Alam,0
2023,Agustus,Sulawesi Tenggara,Kayu Alam,0
2023,Agustus,Sumatera Barat,Kayu Alam,0
2023,Agustus,Sumatera Selatan,Kayu Alam,0
2023,Agustus,Sumatera Utara,Kayu Alam,0
2023,September,Aceh,Kayu Alam,0
2023,September,Bali,Kayu Alam,0
2023,September,Banten,Kayu Alam,0
2023,September,Bengkulu,Kayu Alam,0
2023,September,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,September,Gorontalo,Kayu Alam,0
2023,September,Impor Bahan Baku,Kayu Alam,0
2023,September,Jambi,Kayu Alam,0
2023,September,Jawa Barat,Kayu Alam,0
2023,September,Jawa Tengah,Kayu Alam,0
2023,September,Jawa Timur,Kayu Alam,0
2023,September,Kalimantan Barat,Kayu Alam,0
2023,September,Kalimantan Selatan,Kayu Alam,0
2023,September,Kalimantan Tengah,Kayu Alam,0
2023,September,Kalimantan Timur,Kayu Alam,0
2023,September,Kalimantan Utara,Kayu Alam,0
2023,September,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,September,Lampung,Kayu Alam,0
2023,September,Maluku,Kayu Alam,0
2023,September,Maluku Utara,Kayu Alam,0
2023,September,Nusa Tenggara Barat,Kayu Alam,0
2023,September,Papua,Kayu Alam,0
2023,September,Papua Barat,Kayu Alam,0
2023,September,Riau,Kayu Alam,0
2023,September,Sulawesi Barat,Kayu Alam,0
2023,September,Sulawesi Selatan,Kayu Alam,0
2023,September,Sulawesi Tengah,Kayu Alam,0
2023,September,Sulawesi Tenggara,Kayu Alam,0
2023,September,Sumatera Barat,Kayu Alam,0
2023,September,Sumatera Selatan,Kayu Alam,0
2023,September,Sumatera Utara,Kayu Alam,0
2023,Oktober,Aceh,Kayu Alam,0
2023,Oktober,Bali,Kayu Alam,0
2023,Oktober,Banten,Kayu Alam,0
2023,Oktober,Bengkulu,Kayu Alam,0
2023,Oktober,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Oktober,Gorontalo,Kayu Alam,0
2023,Oktober,Impor Bahan Baku,Kayu Alam,0
2023,Oktober,Jambi,Kayu Alam,0
2023,Oktober,Jawa Barat,Kayu Alam,0
2023,Oktober,Jawa Tengah,Kayu Alam,0
2023,Oktober,Jawa Timur,Kayu Alam,0
2023,Oktober,Kalimantan Barat,Kayu Alam,0
2023,Oktober,Kalimantan Selatan,Kayu Alam,0
2023,Oktober,Kalimantan Tengah,Kayu Alam,0
2023,Oktober,Kalimantan Timur,Kayu Alam,0
2023,Oktober,Kalimantan Utara,Kayu Alam,0
2023,Oktober,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Oktober,Lampung,Kayu Alam,0
2023,Oktober,Maluku,Kayu Alam,0
2023,Oktober,Maluku Utara,Kayu Alam,0
2023,Oktober,Nusa Tenggara Barat,Kayu Alam,0
2023,Oktober,Papua,Kayu Alam,0
2023,Oktober,Papua Barat,Kayu Alam,0
2023,Oktober,Riau,Kayu Alam,0
2023,Oktober,Sulawesi Barat,Kayu Alam,0
2023,Oktober,Sulawesi Selatan,Kayu Alam,0
2023,Oktober,Sulawesi Tengah,Kayu Alam,0
2023,Oktober,Sulawesi Tenggara,Kayu Alam,0
2023,Oktober,Sumatera Barat,Kayu Alam,0
2023,Oktober,Sumatera Selatan,Kayu Alam,0
2023,Oktober,Sumatera Utara,Kayu Alam,0
2023,November,Aceh,Kayu Alam,0
2023,November,Bali,Kayu Alam,0
2023,November,Banten,Kayu Alam,0
2023,November,Bengkulu,Kayu Alam,0
2023,November,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,November,Gorontalo,Kayu Alam,0
2023,November,Impor Bahan Baku,Kayu Alam,0
2023,November,Jambi,Kayu Alam,0
2023,November,Jawa Barat,Kayu Alam,0
2023,November,Jawa Tengah,Kayu Alam,0
2023,November,Jawa Timur,Kayu Alam,0
2023,November,Kalimantan Barat,Kayu Alam,0
2023,November,Kalimantan Selatan,Kayu Alam,0
2023,November,Kalimantan Tengah,Kayu Alam,0
2023,November,Kalimantan Timur,Kayu Alam,0
2023,November,Kalimantan Utara,Kayu Alam,0
2023,November,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,November,Lampung,Kayu Alam,0
2023,November,Maluku,Kayu Alam,0
2023,November,Maluku Utara,Kayu Alam,0
2023,November,Nusa Tenggara Barat,Kayu Alam,0
2023,November,Papua,Kayu Alam,0
2023,November,Papua Barat,Kayu Alam,0
2023,November,Riau,Kayu Alam,0
2023,November,Sulawesi Barat,Kayu Alam,0
2023,November,Sulawesi Selatan,Kayu Alam,0
2023,November,Sulawesi Tengah,Kayu Alam,0
2023,November,Sulawesi Tenggara,Kayu Alam,0
2023,November,Sumatera Barat,Kayu Alam,0
2023,November,Sumatera Selatan,Kayu Alam,0
2023,November,Sumatera Utara,Kayu Alam,0
2023,Desember,Aceh,Kayu Alam,0
2023,Desember,Bali,Kayu Alam,0
2023,Desember,Banten,Kayu Alam,0
2023,Desember,Bengkulu,Kayu Alam,0
2023,Desember,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Desember,Gorontalo,Kayu Alam,0
2023,Desember,Impor Bahan Baku,Kayu Alam,0
2023,Desember,Jambi,Kayu Alam,0
2023,Desember,Jawa Barat,Kayu Alam,0
2023,Desember,Jawa Tengah,Kayu Alam,0
2023,Desember,Jawa Timur,Kayu Alam,0
2023,Desember,Kalimantan Barat,Kayu Alam,0
2023,Desember,Kalimantan Selatan,Kayu Alam,0
2023,Desember,Kalimantan Tengah,Kayu Alam,0
2023,Desember,Kalimantan Timur,Kayu Alam,0
2023,Desember,Kalimantan Utara,Kayu Alam,0
2023,Desember,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Desember,Lampung,Kayu Alam,0
2023,Desember,Maluku,Kayu Alam,0
2023,Desember,Maluku Utara,Kayu Alam,0
2023,Desember,Nusa Tenggara Barat,Kayu Alam,0
2023,Desember,Papua,Kayu Alam,0
2023,Desember,Papua Barat,Kayu Alam,0
2023,Desember,Riau,Kayu Alam,0
2023,Desember,Sulawesi Barat,Kayu Alam,0
2023,Desember,Sulawesi Selatan,Kayu Alam,0
2023,Desember,Sulawesi Tengah,Kayu Alam,0
2023,Desember,Sulawesi Tenggara,Kayu Alam,0
2023,Desember,Sumatera Barat,Kayu Alam,0
2023,Desember,Sumatera Selatan,Kayu Alam,0
2023,Desember,Sumatera Utara,Kayu Alam,0
2023,Januari,Aceh,Kayu Perkebunan,4427.63
2023,Januari,Bali,Kayu Perkebunan,0
2023,Januari,Banten,Kayu Perkebunan,0
2023,Januari,Bengkulu,Kayu Perkebunan,91.76
2023,Januari,Daerah Istimewa Yogyakarta,Kayu Perkebunan,0
2023,Januari,Gorontalo,Kayu Perkebunan,0
2023,Januari,Impor Bahan Baku,Kayu Perkebunan,0
2023,Januari,Jambi,Kayu Perkebunan,14821.87
2023,Januari,Jawa Barat,Kayu Perkebunan,0
2023,Januari,Jawa Tengah,Kayu Perkebunan,233.19
2023,Januari,Jawa Timur,Kayu Perkebunan,296.65
2023,Januari,Kalimantan Barat,Kayu Perkebunan,0
2023,Januari,Kalimantan Selatan,Kayu Perkebunan,660.87
2023,Januari,Kalimantan Tengah,Kayu Perkebunan,6.97
2023,Januari,Kalimantan Timur,Kayu Perkebunan,0
2023,Januari,Kalimantan Utara,Kayu Perkebunan,0
2023,Januari,Kepulauan Bangka-Belitung,Kayu Perkebunan,0
2023,Januari,Lampung,Kayu Perkebunan,27246.36
2023,Januari,Maluku,Kayu Perkebunan,0
2023,Januari,Maluku Utara,Kayu Perkebunan,0
2023,Januari,Nusa Tenggara Barat,Kayu Perkebunan,0
2023,Januari,Papua,Kayu Perkebunan,0
2023,Januari,Papua Barat,Kayu Perkebunan,0
2023,Januari,Riau,Kayu Perkebunan,7536.29
2023,Januari,Sulawesi Barat,Kayu Perkebunan,0
2023,Januari,Sulawesi Selatan,Kayu Perkebunan,0
2023,Januari,Sulawesi Tengah,Kayu Perkebunan,0
2023,Januari,Sulawesi Tenggara,Kayu Perkebunan,0
2023,Januari,Sumatera Barat,Kayu Perkebunan,409.77
2023,Januari,Sumatera Selatan,Kayu Perkebunan,74002.05
2023,Januari,Sumatera Utara,Kayu Perkebunan,20511.52
2023,Februari,Aceh,Kayu Perkebunan,4615.82
2023,Februari,Bali,Kayu Perkebunan,0
2023,Februari,Banten,Kayu Perkebunan,0
2023,Februari,Bengkulu,Kayu Perkebunan,54.1
2023,Februari,Daerah Istimewa Yogyakarta,Kayu Perkebunan,0
2023,Februari,Gorontalo,Kayu Perkebunan,0
2023,Februari,Impor Bahan Baku,Kayu Perkebunan,0
2023,Februari,Jambi,Kayu Perkebunan,15266.23
2023,Februari,Jawa Barat,Kayu Perkebunan,0
2023,Februari,Jawa Tengah,Kayu Perkebunan,233.62
2023,Februari,Jawa Timur,Kayu Perkebunan,185.1
2023,Februari,Kalimantan Barat,Kayu Perkebunan,160.74
2023,Februari,Kalimantan Selatan,Kayu Perkebunan,620.89
2023,Februari,Kalimantan Tengah,Kayu Perkebunan,46.2
2023,Februari,Kalimantan Timur,Kayu Perkebunan,0
2023,Februari,Kalimantan Utara,Kayu Perkebunan,0
2023,Februari,Kepulauan Bangka-Belitung,Kayu Perkebunan,0
2023,Februari,Lampung,Kayu Perkebunan,22205.14
2023,Februari,Maluku,Kayu Perkebunan,0
2023,Februari,Maluku Utara,Kayu Perkebunan,0
2023,Februari,Nusa Tenggara Barat,Kayu Perkebunan,0
2023,Februari,Papua,Kayu Perkebunan,0
2023,Februari,Papua Barat,Kayu Perkebunan,0
2023,Februari,Riau,Kayu Perkebunan,7017.65
2023,Februari,Sulawesi Barat,Kayu Perkebunan,0
2023,Februari,Sulawesi Selatan,Kayu Perkebunan,0
2023,Februari,Sulawesi Tengah,Kayu Perkebunan,0
2023,Februari,Sulawesi Tenggara,Kayu Perkebunan,0
2023,Februari,Sumatera Barat,Kayu Perkebunan,352.66
2023,Februari,Sumatera Selatan,Kayu Perkebunan,78139.85
2023,Februari,Sumatera Utara,Kayu Perkebunan,16718.61
2023,Maret,Aceh,Kayu Perkebunan,3167.56
2023,Maret,Bali,Kayu Perkebunan,0
2023,Maret,Banten,Kayu Perkebunan,0
2023,Maret,Bengkulu,Kayu Perkebunan,125.31
2023,Maret,Daerah Istimewa Yogyakarta,Kayu Perkebunan,0
2023,Maret,Gorontalo,Kayu Perkebunan,0
2023,Maret,Impor Bahan Baku,Kayu Perkebunan,0
2023,Maret,Jambi,Kayu Perkebunan,19833.55
2023,Maret,Jawa Barat,Kayu Perkebunan,8.69
2023,Maret,Jawa Tengah,Kayu Perkebunan,250.63
2023,Maret,Jawa Timur,Kayu Perkebunan,192.94
2023,Maret,Kalimantan Barat,Kayu Perkebunan,185.36
2023,Maret,Kalimantan Selatan,Kayu Perkebunan,299.02
2023,Maret,Kalimantan Tengah,Kayu Perkebunan,0
2023,Maret,Kalimantan Timur,Kayu Perkebunan,0
2023,Maret,Kalimantan Utara,Kayu Perkebunan,0
2023,Maret,Kepulauan Bangka-Belitung,Kayu Perkebunan,0
2023,Maret,Lampung,Kayu Perkebunan,24178.5
2023,Maret,Maluku,Kayu Perkebunan,0
2023,Maret,Maluku Utara,Kayu Perkebunan,0
2023,Maret,Nusa Tenggara Barat,Kayu Perkebunan,0
2023,Maret,Papua,Kayu Perkebunan,0
2023,Maret,Papua Barat,Kayu Perkebunan,0
2023,Maret,Riau,Kayu Perkebunan,6011.36
2023,Maret,Sulawesi Barat,Kayu Perkebunan,0
2023,Maret,Sulawesi Selatan,Kayu Perkebunan,0
2023,Maret,Sulawesi Tengah,Kayu Perkebunan,0
2023,Maret,Sulawesi Tenggara,Kayu Perkebunan,0
2023,Maret,Sumatera Barat,Kayu Perkebunan,427.7
2023,Maret,Sumatera Selatan,Kayu Perkebunan,80783.31
2023,Maret,Sumatera Utara,Kayu Perkebunan,12633.93
2023,April,Aceh,Kayu Perkebunan,213.19
2023,April,Bali,Kayu Perkebunan,0
2023,April,Banten,Kayu Perkebunan,0
2023,April,Bengkulu,Kayu Perkebunan,51.23
2023,April,Daerah Istimewa Yogyakarta,Kayu Perkebunan,0
2023,April,Gorontalo,Kayu Perkebunan,0
2023,April,Impor Bahan Baku,Kayu Perkebunan,0
2023,April,Jambi,Kayu Perkebunan,17341.99
2023,April,Jawa Barat,Kayu Perkebunan,0
2023,April,Jawa Tengah,Kayu Perkebunan,61.83
2023,April,Jawa Timur,Kayu Perkebunan,0
2023,April,Kalimantan Barat,Kayu Perkebunan,255.54
2023,April,Kalimantan Selatan,Kayu Perkebunan,744.73
2023,April,Kalimantan Tengah,Kayu Perkebunan,171.5
2023,April,Kalimantan Timur,Kayu Perkebunan,0
2023,April,Kalimantan Utara,Kayu Perkebunan,0
2023,April,Kepulauan Bangka-Belitung,Kayu Perkebunan,0
2023,April,Lampung,Kayu Perkebunan,8970.75
2023,April,Maluku,Kayu Perkebunan,0
2023,April,Maluku Utara,Kayu Perkebunan,0
2023,April,Nusa Tenggara Barat,Kayu Perkebunan,0
2023,April,Papua,Kayu Perkebunan,0
2023,April,Papua Barat,Kayu Perkebunan,0
2023,April,Riau,Kayu Perkebunan,1819.93
2023,April,Sulawesi Barat,Kayu Perkebunan,0
2023,April,Sulawesi Selatan,Kayu Perkebunan,0
2023,April,Sulawesi Tengah,Kayu Perkebunan,0
2023,April,Sulawesi Tenggara,Kayu Perkebunan,0
2023,April,Sumatera Barat,Kayu Perkebunan,269.15
2023,April,Sumatera Selatan,Kayu Perkebunan,69213.59
2023,April,Sumatera Utara,Kayu Perkebunan,6501.9
2023,Mei,Aceh,Kayu Perkebunan,0
2023,Mei,Bali,Kayu Perkebunan,0
2023,Mei,Banten,Kayu Perkebunan,0
2023,Mei,Bengkulu,Kayu Perkebunan,0
2023,Mei,Daerah Istimewa Yogyakarta,Kayu Perkebunan,0
2023,Mei,Gorontalo,Kayu Perkebunan,0
2023,Mei,Impor Bahan Baku,Kayu Perkebunan,0
2023,Mei,Jambi,Kayu Perkebunan,0
2023,Mei,Jawa Barat,Kayu Perkebunan,0
2023,Mei,Jawa Tengah,Kayu Perkebunan,0
2023,Mei,Jawa Timur,Kayu Perkebunan,0
2023,Mei,Kalimantan Barat,Kayu Perkebunan,0
2023,Mei,Kalimantan Selatan,Kayu Perkebunan,0
2023,Mei,Kalimantan Tengah,Kayu Perkebunan,0
2023,Mei,Kalimantan Timur,Kayu Perkebunan,0
2023,Mei,Kalimantan Utara,Kayu Perkebunan,0
2023,Mei,Kepulauan Bangka-Belitung,Kayu Perkebunan,0
2023,Mei,Lampung,Kayu Perkebunan,0
2023,Mei,Maluku,Kayu Perkebunan,0
2023,Mei,Maluku Utara,Kayu Perkebunan,0
2023,Mei,Nusa Tenggara Barat,Kayu Perkebunan,0
2023,Mei,Papua,Kayu Perkebunan,0
2023,Mei,Papua Barat,Kayu Perkebunan,0
